time_ms,neuron_0_voltage,neuron_1_voltage
0.000000000000000000e+00,5.062874620878722587e-02,6.703976961430367643e-02
2.267573695999999459e-02,5.051394179562272019e-02,6.688775199614038769e-02
4.535147391999998917e-02,5.039939770992569318e-02,6.673607908912937425e-02
6.802721087999999416e-02,5.028511336138442867e-02,6.658475011161268942e-02
9.070294783999997834e-02,5.017108816102577862e-02,6.643376428370487141e-02
1.133786847999999764e-01,5.005732152121214473e-02,6.628312082728887722e-02
1.360544217599999883e-01,4.994381285563843226e-02,6.613281896601212739e-02
1.587301587199999586e-01,4.983056157932904545e-02,6.598285792528246763e-02
1.814058956799999567e-01,4.971756710863485529e-02,6.583323693226419970e-02
2.040816326399999547e-01,4.960482886123020185e-02,6.568395521587407082e-02
2.267573695999999528e-01,4.949234625610989674e-02,6.553501200677731842e-02
2.494331065599999231e-01,4.938011871358621852e-02,6.538640653738371500e-02
2.721088435199999767e-01,4.926814565528593592e-02,6.523813804184358522e-02
2.947845804799999470e-01,4.915642650414731724e-02,6.509020575604389236e-02
3.174603174399999173e-01,4.904496068441716039e-02,6.494260891760426924e-02
3.401360543999998876e-01,4.893374762164782316e-02,6.479534676587310471e-02
3.628117913599999134e-01,7.653309795817136996e-01,7.171726326621843395e-01
3.854875283199999392e-01,1.480103728022699627e+00,1.368070604985129224e+00
4.081632652799999095e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.308390022399999353e-01,7.165081928390194532e-01,6.525242141202607371e-01
4.535147391999999056e-01,1.431391650546988803e+00,1.303568781496579287e+00
4.761904761599999314e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.988662131199998462e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.215419500799998165e-01,7.165081928390194532e-01,6.525242141202607371e-01
5.442176870399999533e-01,7.148834577079692387e-01,6.510445673763185503e-01
5.668934239999998681e-01,7.132624067835651172e-01,6.495682758404123236e-01
5.895691609599998939e-01,7.116450317115970980e-01,6.480953319043605276e-01
6.122448979199999197e-01,7.100313241567988154e-01,6.466257279772338329e-01
6.349206348799998345e-01,7.084212758028048951e-01,6.451594564853158076e-01
6.575963718399998603e-01,7.068148783521077672e-01,6.436965098720640599e-01
6.802721087999997751e-01,7.052121235260151444e-01,6.422368805980711581e-01
7.029478457599999119e-01,7.036130030646072786e-01,6.407805611410258839e-01
7.256235827199998267e-01,7.020175087266944391e-01,6.393275439956743744e-01
7.482993196799998525e-01,7.004256322897743914e-01,6.378778216737814866e-01
7.709750566399998783e-01,6.988373655499899861e-01,6.364313867040922723e-01
7.936507935999997931e-01,6.972527003220869712e-01,6.349882316322933429e-01
8.163265305599998189e-01,6.956716284393716920e-01,6.335483490209744550e-01
8.390022675199997337e-01,6.940941417536691249e-01,6.321117314495903194e-01
8.616780044799998706e-01,6.925202321352807999e-01,6.306783715144222979e-01
8.843537414399997854e-01,6.909498914729430563e-01,6.292482618285401008e-01
9.070294783999998112e-01,6.893831116737849651e-01,6.278213950217640393e-01
9.297052153599998370e-01,1.404328077502306371e+00,1.278921977860887349e+00
9.523809523199998628e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.750566892799997776e-01,7.165081928390194532e-01,6.525242141202607371e-01
9.977324262399996924e-01,1.431391650546988803e+00,1.303568781496579287e+00
1.020408163199999718e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.043083900159999633e+00,7.165081928390194532e-01,6.525242141202607371e-01
1.065759637119999770e+00,1.431391650546988803e+00,1.303568781496579287e+00
1.088435374079999907e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.111111111039999821e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.133786847999999736e+00,7.165081928390194532e-01,6.525242141202607371e-01
1.156462584959999651e+00,7.148834577079692387e-01,6.510445673763185503e-01
1.179138321919999788e+00,7.132624067835651172e-01,6.495682758404123236e-01
1.201814058879999703e+00,7.116450317115970980e-01,6.480953319043605276e-01
1.224489795839999839e+00,1.426539516995818158e+00,1.299149942097494570e+00
1.247165532799999754e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.269841269759999669e+00,7.874312688966391693e-01,9.909182851925093516e-01
1.292517006719999806e+00,1.573076979360520600e+00,1.979589590146630940e+00
1.315192743679999721e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.337868480639999635e+00,7.165081928390194532e-01,6.525242141202607371e-01
1.360544217599999550e+00,1.431391650546988803e+00,1.303568781496579287e+00
1.383219954559999687e+00,0.000000000000000000e+00,0.000000000000000000e+00
