time_ms,neuron_index
3.854875283199999392e-01,0.000000000000000000e+00
3.854875283199999392e-01,1.000000000000000000e+00
4.535147391999999056e-01,0.000000000000000000e+00
4.535147391999999056e-01,1.000000000000000000e+00
9.297052153599998370e-01,0.000000000000000000e+00
9.297052153599998370e-01,1.000000000000000000e+00
9.977324262399996924e-01,0.000000000000000000e+00
9.977324262399996924e-01,1.000000000000000000e+00
1.065759637119999770e+00,0.000000000000000000e+00
1.065759637119999770e+00,1.000000000000000000e+00
1.224489795839999839e+00,0.000000000000000000e+00
1.224489795839999839e+00,1.000000000000000000e+00
1.292517006719999806e+00,0.000000000000000000e+00
1.292517006719999806e+00,1.000000000000000000e+00
1.360544217599999550e+00,0.000000000000000000e+00
1.360544217599999550e+00,1.000000000000000000e+00
1.519274376319999620e+00,0.000000000000000000e+00
1.519274376319999620e+00,1.000000000000000000e+00
1.723356008959999741e+00,0.000000000000000000e+00
1.723356008959999741e+00,1.000000000000000000e+00
1.814058956799999622e+00,0.000000000000000000e+00
1.814058956799999622e+00,1.000000000000000000e+00
2.018140589439999744e+00,0.000000000000000000e+00
2.018140589439999744e+00,1.000000000000000000e+00
2.154195011199999676e+00,0.000000000000000000e+00
2.154195011199999676e+00,1.000000000000000000e+00
2.222222222079999643e+00,0.000000000000000000e+00
2.222222222079999643e+00,1.000000000000000000e+00
2.335600906879999439e+00,0.000000000000000000e+00
2.335600906879999439e+00,1.000000000000000000e+00
2.426303854719999542e+00,0.000000000000000000e+00
2.426303854719999542e+00,1.000000000000000000e+00
2.494331065599999508e+00,0.000000000000000000e+00
2.494331065599999508e+00,1.000000000000000000e+00
2.585034013439999612e+00,0.000000000000000000e+00
2.585034013439999612e+00,1.000000000000000000e+00
2.653061224319999578e+00,0.000000000000000000e+00
2.653061224319999578e+00,1.000000000000000000e+00
2.721088435199999100e+00,0.000000000000000000e+00
2.721088435199999100e+00,1.000000000000000000e+00
2.789115646079999511e+00,0.000000000000000000e+00
2.789115646079999511e+00,1.000000000000000000e+00
2.857142856959999477e+00,0.000000000000000000e+00
2.857142856959999477e+00,1.000000000000000000e+00
3.242630385279999583e+00,0.000000000000000000e+00
3.242630385279999583e+00,1.000000000000000000e+00
3.378684807039999072e+00,0.000000000000000000e+00
3.378684807039999072e+00,1.000000000000000000e+00
3.446712017919999482e+00,0.000000000000000000e+00
3.446712017919999482e+00,1.000000000000000000e+00
3.764172335359999177e+00,0.000000000000000000e+00
3.764172335359999177e+00,1.000000000000000000e+00
3.832199546239999144e+00,0.000000000000000000e+00
3.832199546239999144e+00,1.000000000000000000e+00
3.900226757119999110e+00,0.000000000000000000e+00
3.900226757119999110e+00,1.000000000000000000e+00
3.968253967999999077e+00,0.000000000000000000e+00
3.968253967999999077e+00,1.000000000000000000e+00
4.081632652799998873e+00,0.000000000000000000e+00
4.081632652799998873e+00,1.000000000000000000e+00
4.149659863679999283e+00,0.000000000000000000e+00
4.149659863679999283e+00,1.000000000000000000e+00
4.217687074559998806e+00,0.000000000000000000e+00
4.217687074559998806e+00,1.000000000000000000e+00
4.331065759359998601e+00,0.000000000000000000e+00
4.331065759359998601e+00,1.000000000000000000e+00
4.399092970239999012e+00,0.000000000000000000e+00
4.399092970239999012e+00,1.000000000000000000e+00
4.467120181119998534e+00,0.000000000000000000e+00
4.467120181119998534e+00,1.000000000000000000e+00
4.716553287679999151e+00,0.000000000000000000e+00
4.716553287679999151e+00,1.000000000000000000e+00
4.784580498559998674e+00,0.000000000000000000e+00
4.784580498559998674e+00,1.000000000000000000e+00
4.852607709439999084e+00,0.000000000000000000e+00
4.852607709439999084e+00,1.000000000000000000e+00
5.056689342079999427e+00,0.000000000000000000e+00
5.056689342079999427e+00,1.000000000000000000e+00
5.124716552959998950e+00,0.000000000000000000e+00
5.124716552959998950e+00,1.000000000000000000e+00
5.192743763839998472e+00,0.000000000000000000e+00
5.192743763839998472e+00,1.000000000000000000e+00
5.306122448639999156e+00,0.000000000000000000e+00
5.306122448639999156e+00,1.000000000000000000e+00
5.374149659519999567e+00,0.000000000000000000e+00
5.374149659519999567e+00,1.000000000000000000e+00
5.442176870399998201e+00,0.000000000000000000e+00
5.442176870399998201e+00,1.000000000000000000e+00
5.532879818239998748e+00,0.000000000000000000e+00
5.532879818239998748e+00,1.000000000000000000e+00
5.600907029119998271e+00,0.000000000000000000e+00
5.600907029119998271e+00,1.000000000000000000e+00
5.804988661759998614e+00,0.000000000000000000e+00
5.804988661759998614e+00,1.000000000000000000e+00
5.873015872639999024e+00,0.000000000000000000e+00
5.873015872639999024e+00,1.000000000000000000e+00
5.941043083519998547e+00,0.000000000000000000e+00
5.941043083519998547e+00,1.000000000000000000e+00
6.009070294399998957e+00,0.000000000000000000e+00
6.009070294399998957e+00,1.000000000000000000e+00
6.439909296639998892e+00,0.000000000000000000e+00
6.439909296639998892e+00,1.000000000000000000e+00
6.507936507519998415e+00,0.000000000000000000e+00
6.507936507519998415e+00,1.000000000000000000e+00
6.893424035839998965e+00,0.000000000000000000e+00
6.893424035839998965e+00,1.000000000000000000e+00
7.097505668479998420e+00,0.000000000000000000e+00
